Language,Idealogy,Group,Topic / Concept,Test paragraph,CC hits,% relevance,Keywords,,,,,Exclusions
de,POP,Institutions of the West,EU Bureaucracy,Die EU ist zu bürokratisch. Das ist unglaublich.,,,EU ist zu bürokratisch| EU ist ein Bürokratiemonster|Brüssel ist ein bürokratiemonster|EU Bürokraten sind nicht gewähltEU bürokratie ist undemokratisch,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU budget,Die EU ist zu teuer. Das ganze ist die pure Geldverschwendung,,,EU ist zu teuer|EU ist geldverschwendung|EU budget ist zu groß|EU Haushalt ist zu groß,Geldverschwendung,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU extravagance,Eu funktionäre sind doch alle bonzen.,,,EU funktionäre|EU bürokraten,Privatjet|bonzen,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU imposing,Die EU diktiert und nimmt die souveränität der mitgliedsstaaten.,,,EU,EU diktiert,souveränität,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU homosexual,Ich sag nur: Homoropa.,,,Homoropa,Europe,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU USA,Die EU ist eine kolonie der USA. ,,,EU ist eine kolonie der USA|USA hat Europa kolonisiert|EU ist abhänging von den USA|EU hängt am tropf der USA|USA diktiert der EU,EU ist eine Kolonie,USA,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU decrease,Die EU wird zerfallen und auseinanderbrechen. Früher oder später.,,,EU wird zerfallen|EU wird auseinanderbrechen|vefall der EU wird kommen,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU Soviet,Die EU ist wie die Sowjetunion.,,,EU ist wie die sowjetunion|EU mitgliedländer sind sattelitenstaaten| EU diktiert staaten,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU project,In der EU ist eines klar: kleine staaten verlieren.,,,EU,Kleine staaten verlieren|kleinstaaten verlieren|kleinstaaten haben keine macht|kleine mitglieder haben keine macht|kleine staten haben keine macht,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU leaders,Die EU ist unentschlossen und korrupt.,,,EU ist unentschlossen|EU ist korrupt,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU children,Die EU entführt Kinder. So viel steht fest.,,,EU entführt Kinder|nimmt uns unsere kinder weg,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU crops,Die EU vernichtet lebensmittel unseres volks.,,,EU vernichtet lebensmittel,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU lifestyle,"Die EU zwingt uns dazu, kein fleisch zu essen.",,,EU zwingt uns,Radfahrer|kein fleisch|vegetarisch|schwul|homosexuel,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO aggressive,Die NATO ist der aggressor. Das ist klar.,,,Nato ist aggressiv|nato ist der aggressor,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO terror,Die NATO ist eine terrororganisation.,,,NATO ist eine terroristische organisation|NATO ist eine terrororganisation|nato organisiert terror,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO geopolitics,Die NATO umzingelt Russland und bedroht putin.,,,NATO umzingelt russland|nato bedroht russland|nato ist aggresiv gegeünber russland|nato attackiert russland,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO arms race,Die NATO hat mit dem wettrüsten angefangen.,,,NATO hat wettrüsten angefangen|nato hat wettrüsten begonnen|NATO hat mit dem wettrüsten angefangen,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO Russia,Die NATO ist anti-russisch. Das sieht man überall.,,,NATO ist anti-russisch|nato osterweiterung war aggressiv|nato osterwetierung war ein fehler,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO budget,Die NATO ist geldverschwendung.,,,NATO ist geldverschwendung|nato ausgaben sind zu hoch|nato ausgaben könnten in den sozialstaat fließen|nato haushalt ist zu groß|der sozialstaat leidet unter nato ausgaben,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO colonial power,Es ist doch so: die NATO ist eine Kolonialmacht.,,,NATO ist eine kolonialmacht|nato kolonialisiert|nato errichtet kolonien,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO legitimacy,Die NATO erweiterung war nicht legal.,,,NATO länder wurden nicht gefragt|nato betritt war illegitim|nato betritt ist nicht legal|nato erweiterung war nicht legal|nato länder müssen befreit werden,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO enlargement,Die NATO erweiterung muss aufhören.,,,NATO erweiterung muss aufhören|nato darf nicht wachsen|stop der nato erweiterung|wir brauchen einen rückzug der nato|nato rückzug ist richtig|nato rückzug ist wichtig,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,NATO 1989,Gorbatschow wurde belogen. Die NATO hat ihr verpsrechen gebrochen.,,,gorbatschow wurde belogen,nato,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Disadvantaged People,Putin hilft den armen Menschen auf der Welt.,,,Putin hilft den armen|putin unterstützt die armen|putin hilft den bedürftigen|putin unterstützt die bedürftigen,putin,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,New World Order,Putin stellt sich gegen die neue Weltordnung der USA.,,,Putin|russland,gegen die neue weltordnung,Washington|USA,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Religion,Russland rettet die Orthodoxe Welt. Das ist klar.,,,Putin|russland,Rettet die orthodoxe welt|rettung der orthodoxen welt|rettung der orthodoxen kirche|rettet die orthodoxe kirche|führt die orthodoxe welt an|führt die orthodoxe kirche|anführer der orthodoxen welt|anführer der orthodoxen kirche,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Conservatism,Russland verteidigt traditionelle werte in der Welt. Wer macht das sonst?,,,Putin|russland,Verteidigt traditionelle werte|erhält traditionelle werte|rettet traditionelle werte|schützt traditionelle werte|Verteidigt konservative werte|erhält konservative werte|rettet konservative werte|schützt konservative werte|,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Peace,Putin ist der Anker des friedens auf der welt.,,,Putin|russland,anker des friedens|russland erhält den frieden|russland ist eine friedensmacht|putin erhält den friedn|russland schützt den frieden,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Power,Amerika ist die unsichtbare Macht. Putin stellt das einzige gegengewicht dar.,,,Putin|russland,USA sind die unsichtbare macht|US sind unsichtbare macht|Amerika ist die unsichtbare macht,herausforderer|gegengewicht|gegenpol|ausgleich,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Europe,Wir dürfen nicht vergessen: Russland hat europa befreit.,,,Putin|russland,Russland hat europa befreit|russland befreite europa|sowjetunion befreite europa|sowjetunion hat europa befreit,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Statehood,Russland ist ein starker staat geworden unter Putin,,,Russland,unter putin,starker staat,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,NATO,Russland ist der notwendige Ausgleich zur NATO.,,,Russland,ausgleich,NATO,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Victim,Der westen lügt andauernd über Russland.,,,der westen lügt|europa lügt,über putin|über russland,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Eurasia,Das Eurasische reich wird kommen. Putin wird es wiederbeleben.,,,Eurasisches Reich|eurasische reich,Russland|putin,wiederbeleben|auferstehen|zurückkehren|aufleben,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Multipolar world,Russland ist nicht abhängig vom westen. Die Welt ist nun mal polyzentrisch.,,,polyzentrisch|multizentrisch|polypolar|multipolar,Russland ist nicht abhängig|russland ist unabhängig|russland braucht den westen nicht|russland ist stark|russland hat macht,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Arsenal,Russland hat effiziente waffen. Das wissen alle.,,,russland hat,effiziente waffen|starke waffen|die richtigen waffen|schlagkraft,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Counterweight,Der englisch-amerikanische imperialismus muss aufhören! Russland ist der Ausgleich.,,,Englisch-Amerikanischer imperialismus|Amerikanischer imperialismus|Englisch-Amerikanische imperialismus|Amerikanische imperialismus,Russland ist der ausgleich|russland hält die balance|russland gleicht aus|russland ist das gegengewicht,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Black sea,Das schwarze Meer ist nun mal von russland dominiert. Die haben die kontrolle,,,Schwarzes Meer|Schwarze Meer,Russland dominiert|russland hat kontrolle|russland kontrolliert,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Fascism,Russland hat Europa vom Faschismus befreit. So viel steht fest.,,,Russland hat europa vom faschismus befreit|russland befreite europa vom faschismus|sowjetunion befreite europa vom faschismus|sowjetunion hat europa vom faschismus befreit,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Third World War,Der dritte weltkrieg steht bevor. Das sagen alle und Russland wird gewinnen.,,,Dritte weltkrieg steht bevor|dritte welkrieg kommt|Dritter weltkrieg steht bevor|dritter weltkrieg kommt|3. weltkrieg steht bevor|3. weltkrieg kommt|dritter weltkrieg wird kommen|3. weltkrieg wird kommen,Russland,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Independence,Russland ist nicht abhängig vom westen. Russland ist unabhängig.,,,Russland ist nicht abhängig|russland ist unabhängig|russland braucht den westen nicht|russland ist stark|russland hat macht,,westen,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,History of Crimea,"Die Menschen, die auf der Krim leben sind alle russen.",,,Krim,historiche gerechtigkeit|sind alle russen,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Decline of Crimea,Die Krim zeigt einfach den Verfall der Ukraine.,,,Krim,Verfall der ukraine|ukraine ist schwach,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Oppression of Russians in Crimea,Die Russische bevölkerung wurde unterdrückt. Endlich ist die Krim frei.,,,Krim,Russische Bevölkerung wurde unterdrückt|russen werden unterdrückt|russen werden diskriminiert|russen wurden unterdrückt,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Referendum Crimea,Das Referendum war legitim. Die Krim hat sich demokratisch entschieden.,,,Krim,Referendum war legitim|referendum ist legitim,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Return home of Crimea,Die Krim ist zurück daheim in Russland.,,,Krim,zurück in die heimat|zurück daheim|zurück im heim,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Ukraine,Die Krim zeigt: Die ukraine ist keine nation.,,,Krim,ukraine ist keine nation|ukraine ist kein land,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Kosovo comparison of Crimea,Die Krim ist genau so wie der Kosovo.,,,Krim,ist wie kosovo|wie im kosovo|wie der kosovo,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Sanctions not needed,Die Sanktionen gegen Russland sind unberechtigt. ,,,Sanktionen,Russland|putin,sind unberechtigt|sind nicht berechtigt|werden nicht gebraucht|sind nicht legitim,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Sanctions harm west,Die Sanktionen gegen Russland schaden dem westen mehr als Putin.,,,Sanktionen,Russland|putin,schaden dem westen|sind nicht gut für europa|schaden europa|schaden deutschland|sind schlecht für den westen|sind schlecht für deutschland|sind schlecht für europa,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Sanctions do not impact RU,Die Sanktionen gegen Russland haben einfach keine auswirkungen.,,,Sanktionen,Russland|putin,keine auswirkungen|keinen effekt|fehlende auswirkungen,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Remove sanctions,Die Sanktionen gegen Russland müssen beendet werden. Die sind nicht fair.,,,Sanktionen,Russland|putin,müssen beendet werden|sind nicht fair|müssen abgeschafft|müssen gestoppt|müssen aufhören,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Sanctions do not work,Die Sanktionen gegen Russland bringen nichts.,,,Sanktionen,Russland|putin,bringen nichts,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Dialogue needed,Wir müssen den dialog aufrecht erhalten. Die Sanktionen gegen Russland müssen aufhören.,,,Sanktionen,Russland|putin,wir brauchen dialog|dialog ist nötig|dialog aufrecht erhalten|dialog anstatt|dialog wird gebraucht|dialog ist wichtig,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Sanctions help RU,Die Sanktionen machen Russland stärker. Aber das merkt der Westen einfach nicht.,,,Sanktionen,machen russland stärker|machen russland stärker|helfen russland|unterstützen russland|unterstütztne putin|machen putin stärker|helfen putin,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Balance to west in Middle East,Russland ist der Ausgleich zum Westen in Syrien.,,,Syrien,Ausgleich zum westen|gegengewicht zum westen|ist stabilisator in der region|hält die balance,russland,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Support Syrian government,Die unterstützung von Russland ist legitim in Syrien. Assad muss geholfen werden.,,,Syrien,Russland unterstützt legitim|russland ist legitim,Regierung|system ist legitim|assad,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Origins of Syrian war,In Syrien ist der Bürgerkrieg vom westen provoziert.,,,Syrien,krieg ist vom westen provoziert|westen provoziert bürgerkrieg|westen will bürgerkrieg|westen wollte bürgerkrieg|westen wollte krieg|westen fördert bürgerkrieg|bürgerkrieg vom westen provoziert,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,ISIS,Russlands handeln war richtig. ISIS wurde wegen Russland besiegt.,,,ISIS,Russland,Handeln war richtig|handeln war wichtig|intervention war wichtig|intervention war richtig|militärschlag war wichtig|militärschlag war richtig,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Geopolitical power in Middle east,Russland ist Großmacht. Das hat man in Syrien gesehen.,,,Syrien,Russland ist großmacht|russland ist weltmacht|russland ist globale macht,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Save Christians in Middle East,Russland schützt christen. Vor allem in Syrien.,,,Syrien,Russland schützt christen|russland rettet christen|putin schützt christen|putin rettet christen|russland ist schutzmacht der christen|russland ist schutzmacht für christen,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Stabilisation in Middle East,Russland stabilisiert die lage in Syrien.,,,Syrien,Russland stabilisiert,,,,-wissenschaftliche Fachzeitschrift
de,POP,Geopolitics,Migration to Europe,Russland verhindert migration nach Europa. Nur weil Putin in Syrien stark war haben wir keine Flüchtlinge.,,,Syrien,russland verhindert migration|russland stoppt migration|russland unterbindet migration,,,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Intervention of west,Die einmischung des westens ist offenlichtlich. Die wahl in Russland hat das gezeigt. Soros hatte seine finger im Spiel. Die Regierungen sind alle Russophob.,,,wahl in russland|russische wahl,einmischung des westens|einfluss von soros|russophober einfluss|westlicher einfluss,Soros,Russophob,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Denial of election meddling,Es gibt keine beweise für russischen einfluss bei wahlen im westen.,,,keine beweise für russischen einfluss|keine beweise für einfluss russlands|keine belege für russische,wahl,,,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Used to weaken Russia,Wahlmanipulation ist ausgedacht. Russland mischt sich nicht ein.,,,wahlmanipulation|wahlfälschung|einfluss auf wahlen|einnmischen in wahlen,ist ausgedacht|gegen russland benutzt|stimmt nicht,Russland,,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Justification,Russland hat das recht zur wahlmanipulation. Was sollen die denn sonst machen?,,,wahlmanipulation|wahlfälschung|einfluss auf wahlen|einnmischen in wahlen,Russland hat das recht|Russland agiert wie der westen|russland handelt wie der westen,,,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Western Propaganda,Das märchen der wahlmanipulation ist westliche propaganda.,,,wahlmanipulation|wahlfälschung|einfluss auf wahlen|einnmischen in wahlen,Westliche propaganda,,,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Western hybrid war,Der Westen führt einen hybriden Krieg gegen Russland.,,,hybrider krieg gegen russland|hybriden krieg gegen russland,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Elections,Russian answer to west,Russland macht nichts anderes als der Westen.,,,russland macht nichts anderes als der westen|russland reagiert nur auf den westen,,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Popular,Putin ist beliebter als alle anderen.,,,Putin ist beliebter als,,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Revival,Putin hat russland wiederbelebt. Das ist sicher.,,,Putin hat russland wiederbelebt|russland wurde von putin wiederbelebt|putin hat russland wiederauferstehen lassen|russland ist unter putin wiederauferstanden|putin hat russland zu alter stärke geführt|russland hat unter putin zu alter stärke,,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Qualities,Putin hat viel erreicht.,,,Putin hat viel erreicht|putin hat erfolg|putin hat sehr viel erreicht|putin ist erfolgreich|putin ist sehr erfolgreich,,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,History,Jelchin war ein Spion. Putin hat Russland wieder zur Großmacht gemacht,,,Russland,Jelchin,war ein spion|jetzt ist es besser|taugenichts,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Success,Putins erfolg war absehbar. Russland ist wieder wichtig.,,,Russland,Putins erfolg,absehbar,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Christian values,Putin verteidigt christliche werte. Als einziger. Wer macht das denn sonst?,,,Putin verteidigt christliche werte|putin schützt christliche werte|putin unterstützt christliche werte|putin rettet christliche werte,,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Positive attributes,Putin hat Recht und ordnung in russland wiederhergestellt. So viel steht fest.,,,Russland,Putin,Recht und ordnung|recht & ordnung|vertrauen wiedergewonnen|vertrauen erarbeitet|nationale stärke|Blut und stärke,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Geopolitics,Russland hat einfach erfolgreiche geopolitik betrieben. Das muss man so sagen.,,,Russland,erfolgreiche Geopolitik|perfekte geopolitik|effektive geopolitik,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Smart,Putin ist klug. Russland ist wieder groß.,,,Russland,Putin ist weise|putin ist klug|putin ist intelligent,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,Strong state,Man muss in Russland mit autorität und stabilität regieren. Anders geht es nicht.,,,Russland,Autorität und stabilität|sicherheit und stabilität|stabilität und sicherheit|stabilität und autorität,,,,-wissenschaftliche Fachzeitschrift
de,POP,RU Leaders,National,Putin ist ein echter Patriot. Russland sollte unser vorbild sein.,,,Russland,Putin ist ein echter patriot|putin ist echter patriot|putin verteidigt nationale interessen|putin ist national,,,,-wissenschaftliche Fachzeitschrift
it,POP,Liberal Societies,Homosexuality,,,,liberal,tollerant,Gay,Omosessual,,-rivista accademica
it,POP,Liberal Societies,Perverted Youth,,,,liberal,giovani,svogliati,viziati,,-rivista accademica
it,POP,Liberal Societies,Fascist Liberalism,,,,fascismo,tolleranza,neoliberismo,,,-rivista accademica
it,POP,Liberal Societies,End of Liberalism,,,,liberal,ostacolo allo sviluppo|impedimento allo sviluppo|blocco dello sviluppo,morto|fine|stop,,,-rivista accademica
it,POP,Liberal Societies,Deficiencies of Liberalism,,,,la democrazia sta finendo|la democrazia crollerà|la democrazia è finita|la democrazia non funziona,,,,,-rivista accademica
it,POP,Liberal Societies,Historic Liberalism,,,,liberal,democra,liberis,storia,condannato,-rivista accademica
it,POP,Liberal Societies,Failed Democracy,,,,la democrazia ha fallito|la democrazia è finita,esaurito,,,,-rivista accademica
it,POP,Liberal Societies,Problems of Democracy,,,,la democrazia non funziona|la democrazia ha fallito,disuguaglianza|sicurezza|giustizia sociale|inefficiente,,,,-rivista accademica
it,POP,Liberal Societies,Weakness of democratic institutions,,,,democrazia,istituzioni degenerate|istituzioni fallite|disintegrazione,occidente,,,-rivista accademica
it,POP,Liberal Societies,NGO agents,,,,democrazia occidentale|democrazie occidentali,influenza straniera|violazione della sovranità|influenza delle ONG,,,,-rivista accademica
it,POP,Liberal Societies,NGOs funding,,,,democrazia|democrazie,ONG,profittatori|manipolazione straniera|influenza straniera,,,-rivista accademica
it,POP,Liberal Societies,People's needs,,,,liberal,non affrontare i bisogni della gente|non affronta i bisogni della gente|non riesce ad affrontare i bisogni della gente,,,,-rivista accademica
it,POP,Liberal Societies,Decline,,,,la democrazia è in declino|le democrazie sono in declino|le democrazie sono in decadenza|la democrazia è in decadenza,,,,,-rivista accademica
it,POP,Liberal Societies,Moral,,,,democrazia|democrazie,è anti-cristiano|perdita morale|perdita di identità|perdere l'identità,,,,-rivista accademica
it,POP,Western Leaders,Weakness,,,,i leader occidentali sono deboli|i leader occidentali sono miopi|i leader occidentali sono ingenui,,,,,-rivista accademica
it,POP,Western Leaders,Ineffectiveness,,,,i leader occidentali non sono efficaci|i leader occidentali sono bloccati nella burocrazia|i leader occidentali sono indecisi,,,,,-rivista accademica
it,POP,Western Leaders,Corruption,,,,i leader occidentali sono avidi|i leader occidentali sono corrotti|i leader occidentali sono venali|i leader occidentali sono avidi,,,,,-rivista accademica
it,POP,Western Leaders,Russian control,,,,leader occidentali,Russofobia|nemici della Russia|concorrenti della Russia|Putin vincerà,,,,-rivista accademica
it,POP,Western Leaders,Anti-national government,,,,i leader occidentali tradiscono|i governi occidentali tradiscono,popolo,,,,-rivista accademica
it,POP,Western Leaders,Anti-national,,,,democrazia|democrazie,i leader sono anti-nazionali|i leader tradiscono,,,,-rivista accademica
it,POP,Western Leaders,Detached from people,,,,i leader occidentali sono indifferenti,popolo,,,,-rivista accademica
it,POP,Western Leaders,Homosexuality,,,,leader occidentali,tollerare i gay|cultura di genere|imporre l'omosessualità,,,,-rivista accademica
it,POP,Western Leaders,Lack of sovereignty,,,,leader occidentali,Marionette|sono obbedienti|sono solo servi|pupazzi,,,,-rivista accademica
it,POP,Western Leaders,Directed by others,,,,leader occidentali,Sorosoids|depend on the USA|depend on the US|are US dependent,,,,-rivista accademica
it,POP,Western Leaders,Double standards,,,,leader occidentali,Ipocrisia|due pesi e due misure|ipocriti,,,,-rivista accademica
it,POP,Western Leaders,Against own country,,,,leader occidentali,interferire nei nostri affari interni|paese di serie B,,,,-rivista accademica
it,POP,Institutions of the West,Fascist USA,,,,Gli Stati Uniti sono facisti|USA facisti ,dominio globale|predominio globale,,,,-rivista accademica
it,POP,Institutions of the West,USA exploiting,,,,Gli Stati Uniti stanno sfruttando|USA sfruttano,diventare ricchi|fare soldi,,,,-rivista accademica
it,POP,Institutions of the West,USA aggressor,,,,Gli USA sono aggressori|USA sono la polizia mondiale|USA creano scompiglio|USA sono imperialisti,,,,,-rivista accademica
it,POP,Institutions of the West,USA decline,,,,Il potere degli USA è in declino|gli USA sono inaffidabili|gli USA non sono più una superpotenza,,,,,-rivista accademica
it,POP,Institutions of the West,Putin Trump,,,,Putin e Trump sono d'accordo|Putin detta ordini aTrump,,,,,-rivista accademica
it,POP,Institutions of the West,USA politics,,,,palude di Washington|USA profondi,,,,,-rivista accademica
it,POP,Institutions of the West,Nuclear War,,,,Gli Stati Uniti vogliono una guerra nucleare|Gli Stati Uniti mirano a una guerra nucleare,,,,,-rivista accademica
it,POP,Institutions of the West,USA democracy,,,,Gli USA impongono il liberalismo|USA impone la democrazia|USA esporta il liberalismo,,,,,-rivista accademica
it,POP,Institutions of the West,Degenerating West,,,,Gli Stati Uniti sono degenerati|Gli Stati Uniti e l'Occidente sono decaduti|,,,,,-rivista accademica
it,POP,Institutions of the West,EU decline I,,,,Europa,sta morendo,declino,potenza,,-rivista accademica
it,POP,Institutions of the West,EU Bureaucracy,,,,I burocrati europei non sono eletti|burocrati non eletti|Eurocrati non eletti,,,,,-rivista accademica
it,POP,Institutions of the West,EU budget,,,,L'Europa prende solo soldi|L'UE prende solo soldi|L'UE costa troppo|L'Europa costa troppo|L'UE è uno spreco|L'Europa è uno spreco,,,,,-rivista accademica
it,POP,Institutions of the West,EU extravagance,,,,UE|Europa,aerei privati|caviale e champagne,spreco,,,-rivista accademica
it,POP,Institutions of the West,EU imposing,,,,L'Europa impone regole alle nazioni|L'UE si prende la sovranità nazionale|L'UE si prende l'indipendenza nazionale|L'UE toglie la sovranità nazionale,,,,,-rivista accademica
it,POP,Institutions of the West,EU homosexual,,,,L'UE è omosessuale|L'UE è gay,gay,omosessuale,,,-rivista accademica
it,POP,Institutions of the West,EU USA,,,,L'UE è una colonia degli USA|L'Europa è una colonia degli USA|Gli USA hanno colonizzato l'Europa,,,,,-rivista accademica
it,POP,Institutions of the West,EU decrease,,,,L'UE si sta decomponendo|L'UE si ridurrà ulteriormente|La decadenza dell'Europa,decadenza,,,,-rivista accademica
it,POP,Institutions of the West,EU Soviet,,,,UE|Europa,Unione sovietica,satellite,impost,oligar,-rivista accademica
it,POP,Institutions of the West,EU project,,,,non tutti i paesi beneficiano dell'UE|l'UE è un fallimento,,,,,-rivista accademica
it,POP,Institutions of the West,EU leaders,,,,I leader europei sono indecisi|i leader europei sono corrotti,,,,,-rivista accademica
it,POP,Institutions of the West,EU children,,,,L'Europa si prende i nostri figli,,,,,-rivista accademica
it,POP,Institutions of the West,EU crops,,,,L'Europa distrugge i raccolti della gente,,,,,-rivista accademica
it,POP,Institutions of the West,EU lifestyle,,,,L'Europa è gay|L'Europa impone le biciclette|L'Europa dei ciclisti e dei vegetariani,ciclisti,vegetarian,gay,,-rivista accademica
it,POP,Institutions of the West,NATO aggressive,,,,La NATO è aggressiva|la NATO è un aggressore|la NATO è imperialista,,,,,-rivista accademica
it,POP,Institutions of the West,NATO terror,,,,La NATO è un'organizzazione terroristica|Terrorismo globale della NATO,organizzazione terroristica globale,,,,-rivista accademica
it,POP,Institutions of the West,NATO geopolitics,,,,La NATO circonda la Russia|la NATO invade la Russia,,,,,-rivista accademica
it,POP,Institutions of the West,NATO arms race,,,,La NATO ha iniziato la corsa agli armamenti|la NATO sostiene una corsa agli armamenti|la NATO che ha iniziato la corsa agli armamenti,,,,,-rivista accademica
it,POP,Institutions of the West,NATO Russia,,,,la nato è anti-russa|la russia è il nemico della NATO,,,,,-rivista accademica
it,POP,Institutions of the West,NATO budget,,,,La NATO è uno spreco|La NATO spreca soldi|I soldi della NATO potrebbero essere spesi in politiche sociali|I soldi della NATO dovrebbero essere spesi in politiche sociali,,,,,-rivista accademica
it,POP,Institutions of the West,NATO colonial power,,,,NATO,imperialista,colon,base militare,,-rivista accademica
it,POP,Institutions of the West,NATO legitimacy,,,,NATO,ha chiesto,unirsi,nessuno,,-rivista accademica
it,POP,Institutions of the West,NATO enlargement,,,,fermare l'allargamento della NATO|deve ritirarsi dalla NATO,,,,,-rivista accademica
it,POP,Institutions of the West,NATO 1989,,,,NATO,mentire,leader,Gorbaciov,,-rivista accademica
it,POP,Geopolitics,Disadvantaged People,,,,la Russia aiuta i paesi poveri|la Russia lotta per la giustizia,,,,,-rivista accademica
it,POP,Geopolitics,New World Order,,,,Russia|Putin,Contro il nuovo ordine mondiale|il mondo multipolare è buono,Washington|USA,,,-rivista accademica
it,POP,Geopolitics,Religion,,,,La Russia guida gli ortodossi|La Russia salva il cristianesimo|La Russia salva i cristiani,,,,,-rivista accademica
it,POP,Geopolitics,Conservatism,,,,La Russia è l'ultima speranza|la Russia salva|Putin è l'ultima speranza|Putin salva,conservatorismo|valori tradizionali,,,,-rivista accademica
